headline,abstract,pub date,original,person rank,keywords,lead paragraph,news desk,section name,type of material
1919: The Year of the Crack-Up,"From the Treaty of Versailles to Prohibition, the events of that year shaped America, and the world, for a century to come. ",2019-01-01T00:00:03+0000,By Ted Widmer,1,"['United States Politics and Government', 'New Year', 'League of Nations', 'Wilson, Woodrow', 'Europe']","Throughout 2019, The New York Times Opinion section will publish an occasional series of essays on the ways in which the events of 1919 shaped the following century. ",OpEd,Opinion,Op-Ed
In Search of Lost Screen Time,"Imagine what we could do with our money, and hours, if we set our phones aside for a year.",2019-01-01T00:00:07+0000,By Paul Greenberg,1,"['Smartphones', 'Social Media']","More than three-quarters of all Americans own a smartphone. In 2018 those 253 million Americans spent $1,380 and 1,460 hours on their smartphone and other mobile devices. That’s 91 waking days; cumulatively, that adds up to 370 billion waking American hours and $349 billion.",OpEd,Opinion,Op-Ed
"Warren Wells, Star Receiver With a Derailed Career, Dies at 76","Wells was a deep threat for the vaunted Oakland offenses of the late 1960s, but his playing days ended after he served a seasonlong prison sentence.",2019-01-01T00:08:04+0000,By Daniel E. Slotnik,1,"['Wells, Warren (1942-2018)', 'Football', 'Deaths (Obituaries)', 'Oakland Raiders', 'American Football League', 'Oakland (Calif)']","Warren Wells, a former wide receiver who became one of the most feared deep threats of the vaunted Oakland Raiders of the late 1960s, but whose career ended after he served a season-long prison sentence, died on Thursday at a hospital in Beaumont, Tex. He was 76.",Obits,Obituaries,Obituary (Obit)
2019: The Year of the Wolves,Can the Constitution withstand the partisans?,2019-01-01T00:15:31+0000,By David Brooks,1,"['Trump, Donald J', 'United States Politics and Government', 'Constitution (US)', 'Watergate Affair', 'Cather, Willa', 'My Antonia (Book)']","In Willa Cather’s novel “My Antonia,” there are two kind Russian farmers named Peter and Pavel who have settled on the Nebraska prairie. On his death bed, Pavel tells the story of how they came to emigrate there.",OpEd,Opinion,Op-Ed
Why Trump Reigns as King Cyrus,The Christian right doesn’t like the president only for his judges. They like his style.,2019-01-01T00:29:12+0000,By Katherine Stewart,1,"['United States Politics and Government', 'Bible', 'Evangelical Movement', 'Liberty University', 'Falwell, Jerry Jr (1962- )', 'Trump, Donald J', 'Wallnau, Lance']","The month before the 2018 midterms, a thousand theaters screened “The Trump Prophecy,” a film that tells the story of Mark Taylor, a former firefighter who claims that God told him in 2011 that Donald Trump would be elected president.",OpEd,Opinion,Op-Ed
Wanted: A Jets Coach Who Suits Sam Darnold,"The quarterback won’t have a say in who will be his next coach, but the team is looking for a coach that can complement its future star.",2019-01-01T00:31:07+0000,By Zach Schonbrun,1,"['Football', 'Coaches and Managers', 'New York Jets', 'Maccagnan, Mike', 'Darnold, Sam (1997- )', 'Johnson, Christopher (1959- )']","FLORHAM PARK, N.J. — A day after the Jets fired Coach Todd Bowles following the team’s season-ending 38-3 loss to the New England Patriots, team chairman and chief executive Christopher Johnson said the franchise will move quickly in finding a replacement.",Sports,Sports,News
Military Deletes New Year’s Eve Tweet Saying It’s ‘Ready to Drop Something’,The United States Strategic Command’s tweet also included a video that showed a B-2 stealth bomber releasing two bombs. Officials later apologized.,2019-01-01T00:36:31+0000,By Matt Stevens and Thomas Gibbons-Neff,1,"['UNITED STATES STRATEGIC COMMAND', 'Twitter', 'Nuclear Weapons', 'New Year', 'United States Defense and Military Forces', 'Computers and the Internet', 'Military Aircraft', 'Defense Department']",The unified command responsible for the United States’ nuclear strike capabilities drew attention on Monday when it tweeted a message and video that threatened the possibility of dropping a bomb.,Express,U.S.,News
Firing of Several Black Coaches Puts N.F.L. Hiring Under Scrutiny,"There are now only two African-American head coaches, after five others were fired. Newly revised rules compel owners to more seriously consider minority candidates.",2019-01-01T00:38:58+0000,By Bill Pennington and Ken Belson,2,"['Coaches and Managers', 'Football', 'National Football League', 'Race and Ethnicity']",The N.F.L.’s 32 owners made an unexpected announcement after meeting a few weeks ago: The league was strengthening rules that obligate teams to consider minority candidates when hiring coaches and executives in their front offices.,Sports,Sports,News
Quotation of the Day: Louis C.K. Mocks Parkland School Shooting Survivors in Recent Set,"Quotation of the Day for Tuesday, January 1, 2019.",2019-01-01T00:39:17+0000,,1,[],“It’s a shame when you sink so low that your comeback plan is to make fun of school shooting survivors for speaking out.”,Summary,Today’s Paper,Quote
Video on Turkish TV Is Said to Show Khashoggi’s Remains Being Moved,"The television network A Haber broadcast footage of the residence of Saudi Arabia’s consul general in Istanbul, and of men carrying large suitcases inside.",2019-01-01T00:45:40+0000,By Alan Yuhas,2,"['Khashoggi, Jamal', 'Assassinations and Attempted Assassinations', 'Mohammed bin Salman (1985- )', 'Saudi Arabia', 'Turkey']","A Turkish television network broadcast video on Monday showing men with suitcases supposedly containing the remains of Jamal Khashoggi, the dissident writer killed by Saudi agents in October.",Foreign,World,News
Macron Vows Order ‘Without Compromise’ in Rebuke to Yellow Vest Protests,President Emmanuel Macron of France urged his fellow citizens to “accept reality” and called for the protesters shaking the country over inequality to curb the disorder sown at demonstrations.,2019-01-01T01:04:01+0000,By Adam Nossiter,1,"['Yellow Vests Movement', 'France', 'Macron, Emmanuel (1977- )', 'Politics and Government', 'Demonstrations, Protests and Riots', 'Economic Conditions and Trends', 'New Year']",PARIS — A French president struggling to reassert his grip after weeks of violent demonstrations across the country assured citizens on Monday night that he understood their anger — but said that henceforth order would be “applied without compromise.”,Foreign,World,News
"Corrections: January 1, 2019","Corrections appearing in print on Tuesday, January 1, 2019.",2019-01-01T01:09:11+0000,,1,[],SPORTS,Corrections,Corrections,Correction
"Kim Jong-un, Ready to Meet Trump ‘at Any Time,’ Demands U.S. End Sanctions","In his New Year’s Day speech, North Korea’s leader, Kim Jong-un, said he was ready to meet with President Trump again but warned against continued sanctions against his country.",2019-01-01T01:44:15+0000,By Motoko Rich and David E. Sanger,1,"['Kim Jong-un', 'Speeches and Statements', 'North Korea', 'Politics and Government', 'United States International Relations', 'Embargoes and Sanctions', 'International Relations', 'New Year', 'Trump, Donald J', 'United States', 'South Korea', 'Nuclear Weapons', 'United States Defense and Military Forces']","TOKYO — Kim Jong-un, North Korea’s leader, said Tuesday that he was willing to have a second summit meeting with President Trump, but he paired the offer with a threat that if international sanctions against his country were not lifted, the North would “have no choice” but to return to nuclear confrontation.",Foreign,World,News
Sync your calendar with the solar system,"Never miss an eclipse, a meteor shower, a rocket launch or any other astronomical and space event that's out of this world.",2019-01-01T01:46:18+0000,By Michael Roston,2,"['Space and Astronomy', 'Moon', 'Eclipses', 'Seasons and Months', 'Solar System', 'Meteors and Meteorites']","Never miss an eclipse, a meteor shower, a rocket launch or any other astronomical and space event that's out of this world.",Science,Science,Interactive Feature
"NASA’s New Horizons Takes Photos of Ultima Thule, 4 Billion Miles Away","Now scientists await a bounty of new data about the small, mysterious icy body, the most distant object ever visited.",2019-01-01T02:20:13+0000,By Kenneth Chang,1,"['New Horizons (Spacecraft)', 'National Aeronautics and Space Administration', 'Space and Astronomy', 'Stern, S Alan']","LAUREL, Md. — Thirty-three minutes into the new year, scientists, engineers and well-wishers here at the Johns Hopkins Applied Physics Laboratory celebrated the moment that NASA’s New Horizons spacecraft made its closest approach to a small, icy world nicknamed Ultima Thule.",Science,Science,News
Barely Adequate,Gary Cee begins our solving year.,2019-01-01T03:00:01+0000,By Deb Amlen,1,['Crossword Puzzles'],TUESDAY PUZZLE — UPDATE: The following is a message from Will Shortz about the entry at 2D.,Games,Crosswords & Games,News
Finding Female Friends Over 50 Can Be Hard. These Women Figured It Out.,"“There were meet-ups that were generalized for those in their 20s, 30s and 40s, but there was nothing for older women,” said the founder of a group in Los Angeles. “And I didn’t want men.”",2019-01-01T04:00:06+0000,By Rozette Rago,1,"['Women and Girls', 'Friendship', 'Los Angeles (Calif)', 'Meetup.com', 'Dating and Relationships']","Dale Pollekoff, 71, moved to Los Angeles after a long career in graphic design in Washington D.C. As a single woman with no children, she felt drawn to the city’s weather and the less conservative ideas of varied lifestyles. “I feel more like I can be me here,” she said.",Styles,Style,News
On Politics: Elizabeth Warren Is Running for President,"The Massachusetts senator is forming a presidential exploratory committee, making her the first major candidate in what is likely to be a crowded Democratic primary.",2019-01-01T05:18:48+0000,,1,['United States Politics and Government'],Good Tuesday morning and Happy New Year. Here are some of the stories making news in Washington and politics today.,Politics,U.S.,News
Pete Davidson Back Onstage for First Time Since Suicide Scare,"Delivering a rough and raucous stand-up set, the comedian also sought to move past his ill-fated engagement to the pop star Ariana Grande.",2019-01-01T05:21:01+0000,By Ted Siefer,1,"['Comedy and Humor', 'Davidson, Pete (1993- )', 'Saturday Night Live (TV Program)', 'Mental Health and Disorders']","MEDFORD, Mass. — The comedian Pete Davidson returned to the stage Monday night, two weeks after an Instagram post raised concerns that he was having suicidal thoughts, and showed that his preferred coping mechanism was still intact: laughter.",Culture,Arts,News
What’s on TV Tuesday: ‘Tidying Up With Marie Kondo’ and ‘Doctor Who’,"Ring in the new year with some organization inspiration, courtesy of Marie Kondo, and the first-ever “Doctor Who” New Year’s Day special.",2019-01-01T06:00:04+0000,By Lauren Messman,1,"['Television', 'Movies']","Ring in the new year with some organization inspiration, courtesy of Marie Kondo, and the first-ever “Doctor Who” New Year’s Day special.",Culture,Arts,Schedule
James Watson Had a Chance to Salvage His Reputation on Race. He Made Things Worse.,"The Nobel-winning biologist has drawn global criticism with unfounded pronouncements on genetics, race and intelligence. He still thinks he’s right, a new documentary finds.",2019-01-01T07:30:04+0000,By Amy Harmon,1,"['Watson, James D', 'Genetics and Heredity', 'Race and Ethnicity', 'DNA (Deoxyribonucleic Acid)', 'Intelligence and Intelligence Tests (IQ)', 'Documentary Films and Programs', 'Nobel Prizes', 'Biology and Biochemistry', 'Human Genome Project', 'Broad Institute', 'Cold Spring Harbor Laboratory', 'Crick, Francis H C', 'AMERICAN MASTERS (TV PROGRAM)']","It has been more than a decade since James D. Watson, a founder of modern genetics, landed in a kind of professional exile by suggesting that black people are intrinsically less intelligent than whites. ",Science,Science,News
A Rising Threat to Wildlife: Electrocution,"Power lines and electrified fences are killing birds, monkeys, pangolins and even elephants in surprising numbers. ",2019-01-01T07:30:04+0000,By Rachel Nuwer,1,"['Endangered and Extinct Species', 'Birds', 'ANIMALS', 'Conservation of Resources', 'Electric Light and Power', 'AFRICA', 'Fences and Property Barriers']","South Africa is a country of ranches, farms, reserves and national parks, many surrounded by miles of electric fencing. The fencing keeps out unwanted animal and human intruders, and protects livestock and desirable wildlife.",Science,Science,News
Another Season Comes and Goes While Pac-12 Struggles to Keep Up,Underperforming media deals have left the conference falling behind its peers off the field. That might be the root of its problems on it.,2019-01-01T07:30:05+0000,By Marc Tracy and Kevin Draper,1,"['College Athletics', 'Football (College)', 'Pacific-12 Conference', 'Scott, Larry (1964- )', 'Los Angeles (Calif)', 'Western States (US)', 'California', 'National Collegiate Athletic Assn']","By several important measurements, the Pacific-12 Conference, the college sports league that calls itself “the conference of champions,” did not have a very good year.",Sports,Sports,News
"Rocket Launches, Trips to the Moon and More Space and Astronomy Events in 2019","A busy year in space just ended, and this one will be full of new highlights in orbit and beyond.",2019-01-01T07:33:48+0000,By Michael Roston,2,"['Space and Astronomy', 'Rocket Science and Propulsion', 'National Aeronautics and Space Administration', 'Space Exploration Technologies Corp', 'China', 'Innovation']","Just as we’ve caught our breaths from 2018’s exciting and very busy year in space and astronomy, 2019 is already off to a rapid start. Before we finish the first week of this year, we’ll see a Chinese probe landing on the moon, an eclipse and NASA’s New Horizons spacecraft complete a flyby of the most distant object ever visited in the solar system. ",Science,Science,News
A Photographer’s Quest to Reverse China’s Historical Amnesia,The Chinese photographer Li Zhensheng has been on a decades-long mission to make his country remember the Cultural Revolution.,2019-01-01T08:24:14+0000,By Amy Qin,1,"['Li Zhensheng (1940- )', 'Cultural Revolution', 'Photography', 'Communist Party of China', 'Mao Zedong', 'Politics and Government', 'China']",HONG KONG — The photographer Li Zhensheng is on a mission to make his fellow Chinese remember one of the most turbulent chapters in modern Chinese history that the ruling Communist Party is increasingly determined to whitewash.,Foreign,World,News
How to Get Stronger in the New Year,"Six ways to build muscle, even if you don’t have much time to work out.",2019-01-01T10:00:01+0000,By The New York Times,1,"['Exercise', 'Muscles', 'Weight', 'Weight Lifting', 'Health Clubs', 'Mental Health and Disorders']",Are you making a resolution to get stronger in the new year? Here are some research-backed strategies that can help.,Well,Well,News
How Hollywood Gets the Publishing Industry Wrong,"Book publishing is big on TV and in the movies. The essayist Sloane Crosley, a former book publicist, fact-checks the shows.",2019-01-01T10:00:05+0000,By Sloane Crosley,1,"['Books and Literature', 'Movies', 'Book Trade and Publishing', 'Younger (TV Program)', 'Fatal Attraction (Play)', 'Elf (Play)']","When I worked as a book publicist, my boss told me that the blessing and curse of our industry is that “everyone thinks they can do what we do, even though no one has a clue what we do.” This comment was prompted by a marketing meeting during which we were lauded for glowing review coverage that no reasonable person could attribute to our efforts, while simultaneously being asked whether we had “tried the ‘Today’ show.” Because pitching the “Today” show is just the kind of thing that would never occur to a book publicist.",BookReview,Books,News
New & Noteworthy,"A selection of books published this week; plus, a peek at what our colleagues around the newsroom are reading.",2019-01-01T10:00:06+0000,,1,['Books and Literature'],"A VELOCITY OF BEING Edited by Maria Popova and Claudia Zoe Bedrick. (Enchanted Lion, $34.95.) This collection of letters from famous writers addressing their love of books (along with illustrations by the likes of Maira Kalman, Chris Ware, Roz Chast and many, many others) is an embarrassment of riches. HOW TO DATE MEN WHEN YOU HATE MEN By Blythe Roberson. (Flatiron, $19.99.) How do you reconcile your anger with the patriarchy when you’re also attracted to men? With biting wit, Roberson explores the dynamics of heterosexual dating in the age of #MeToo. ON THOMAS MERTON By Mary Gordon. (Shambala, $24.95.) Thomas Merton was one of the most important Catholic thinkers of the 20th century, a writer and a monk who found a way to balance these two identities. Gordon, an acclaimed novelist, unpacks his legacy. THE BANISHED IMMORTAL By Ha Jin. (Pantheon, $28.) The National Book Award-winning author of “Waiting” turns to biography to tell the story of Li Bai, the eighth-century Chinese poet, shaped by Taoist thought, who continues to be read in China today. SERIOUSLY CURIOUS Edited by Tom Standage. (The Economist/PublicAffairs, paper, $17.99.) Standage, the deputy editor of The Economist, has culled some quirky questions from two of the magazine’s explainer blogs. If you want to know why wolves are coming back to France or how wine glasses have gotten bigger over the years, this is the place.",BookReview,Books,News
Three New Year’s Resolutions for Better Travel in 2019,Changing your approach to traveling can go a long way in making you happier and healthier in the New Year. Here are three ways to get the most out of your trips in 2019.,2019-01-01T10:00:06+0000,By Justin Sablich,1,[],"It’s not uncommon for people to set unrealistic expectations when making New Year’s resolutions, which likely contributes to most of them failing. Over 90 percent of them do, according to research by the University of Scranton.",Travel,Travel,News
"In the Race for Content, Hollywood Is Buying Up Hit Podcasts","“Homecoming,” “Dirty John” and “Lore” are just the first in a likely wave of headphone-to-screen adaptations.",2019-01-01T10:00:07+0000,By Jaclyn Peiser,1,"['Television', 'Podcasts', 'AMAZON.COM INC', 'ABC INC', 'Blumhouse Television LLC', 'Bravo', 'FX (TV Network)', 'Gimlet Media', 'Home Box Office', 'Pod Save America (Radio Program)', '2 Dope Queens (Radio Program)', 'Alex, Inc (TV Program)', 'Dirty John (TV Program)', 'Homecoming (Radio Program)', 'Limetown (Radio Program)', 'Serial (Radio Program)', 'Welcome to Night Vale (Book)', 'Wondery Inc']","The film mogul Darryl F. Zanuck was among the skeptics in the years before networks started broadcasting shows seven nights a week. “Television won’t be able to hold on to any market it captures after the first six months,” he infamously predicted. “People will soon get tired of staring at a plywood box every night.”",Business,Business Day,News
Bringing Yoga to a Newsroom or Workplace Near You ,"Being a type-A person helps me get a lot done, but it has also sometimes pushed me to do things too quickly. Yoga has been the counter to that motor.",2019-01-01T10:00:07+0000,By Ari Isaacman Bevacqua and Nicole Phillip,2,"['Yoga', 'Back (Human Body Part)']","Times Insider delivers behind-the-scenes insights into how news, features and opinion come together at The New York Times. ",Insider,Reader Center,News
"In High-Tech Cities, No More Potholes, but What About Privacy?","Cities, including some far from the coasts, are vying to use technology to guide services. But the race toward “smart cities” is raising privacy worries.",2019-01-01T10:00:08+0000,By Timothy Williams,1,"['Urban Areas', 'Computers and the Internet', 'Privacy', 'Data-Mining and Database Marketing', 'Kansas City (Mo)']","KANSAS CITY, Mo. — An algorithm predicts where potholes will emerge so road crews can resurface streets before cracks appear. Dog houses outfitted with cameras and temperature controls provide people a place to leave pets while they’re on a date or at yoga. And on Main Street, if a driver parks too long, a sensor alerts the police and a ticket is issued.",National,U.S.,News
Bright Spot for N.Y.’s Struggling Schools: Pre-K,"Mayor Bill de Blasio’s broader plan for public schools has been disappointing, but his universal pre-K initiative shows steady improvement.",2019-01-01T10:00:08+0000,By Eliza Shapiro,1,"['Education (Pre-School)', 'de Blasio, Bill', 'Children and Childhood', 'Education Department (NYC)', 'New York City']",[What you need to know to start the day: Get New York Today in your inbox.],Metro,New York,News
Police Searching for Gunman Who Fired Into Car and Killed a 7-Year-Old,"Jazmine Barnes, a second grader, was riding in a car with her family in Houston when a gunman in a red pickup truck opened fire, the authorities said.",2019-01-01T10:00:10+0000,By Sarah Mervosh,1,"['Barnes, Jazmine (d 2018)', 'Murders, Attempted Murders and Homicides', 'Houston (Tex)']","A 7-year-old who was riding in a car with her mother and three sisters was killed in Texas over the weekend, the authorities said, when a gunman in a pickup truck suddenly pulled up alongside them and opened fire.",Express,U.S.,News
"Brazil Wanted Change. Even Before Taking Office, Jair Bolsonaro Delivered.","In electing Mr. Bolsonaro, a far-right politician who becomes president on Tuesday, voters signaled a desire for radical change. It is already underway.",2019-01-01T10:00:11+0000,By Ernesto Londoño and Manuela Andreoni,1,"['Bolsonaro, Jair (1955- )', 'Brazil', 'Inaugurations']",RIO DE JANEIRO — Brazilians signaled a desire for a radical shift in the country’s course when they elected the far-right lawmaker Jair Bolsonaro as their next president in October.,Foreign,World,News
