headline,abstract,lead paragraph,first keyword,type of material,lead paragraph keywords,Main Keywords lead paragraph (tf- idf),abstract keywords,Main Keywords abstract (tf- idf),headline keywords,Main Keywords headline (tf- idf)
1919: The Year of the Crack-Up,"From the Treaty of Versailles to Prohibition, the events of that year shaped America, and the world, for a century to come. ","Throughout 2019, The New York Times Opinion section will publish an occasional series of essays on the ways in which the events of 1919 shaped the following century. ",United States Politics and Government,Op-Ed,"throughout, 2019, new","['york', 'time', 'opinion', 'section', 'seri', 'essay', 'way', 'event', 'centuri']","treaty, versailles, prohibition","['treati', 'versail', 'event', 'year', 'america', 'world', 'centuri']","1919, year, crack","['year', 'crackup']"
In Search of Lost Screen Time,"Imagine what we could do with our money, and hours, if we set our phones aside for a year.","More than three-quarters of all Americans own a smartphone. In 2018 those 253 million Americans spent $1,380 and 1,460 hours on their smartphone and other mobile devices. That’s 91 waking days; cumulatively, that adds up to 370 billion waking American hours and $349 billion.",Smartphones,Op-Ed,"american, smartphone, 1","['threequart', 'american', 'smartphon', 'american', 'hour', 'smartphon', 'devic', 'wake', 'day', 'hour']","imagine, could, money","['money', 'hour', 'phone', 'year']","search, lost, screen","['search', 'screen', 'time']"
"Warren Wells, Star Receiver With a Derailed Career, Dies at 76","Wells was a deep threat for the vaunted Oakland offenses of the late 1960s, but his playing days ended after he served a seasonlong prison sentence.","Warren Wells, a former wide receiver who became one of the most feared deep threats of the vaunted Oakland Raiders of the late 1960s, but whose career ended after he served a season-long prison sentence, died on Thursday at a hospital in Beaumont, Tex. He was 76.","Wells, Warren (1942-2018)",Obituary (Obit),"warren, well, former","['warren', 'receiv', 'threat', 'oakland', 'raider', '1960', 'career', 'prison', 'sentenc', 'thursday', 'hospit', 'beaumont', 'tex']","well, deep, threat","['well', 'threat', 'oakland', 'offens', '1960', 'day', 'prison', 'sentenc']","warren, well, star","['warren', 'star', 'receiv', 'career', 'die']"
2019: The Year of the Wolves,Can the Constitution withstand the partisans?,"In Willa Cather’s novel “My Antonia,” there are two kind Russian farmers named Peter and Pavel who have settled on the Nebraska prairie. On his death bed, Pavel tells the story of how they came to emigrate there.","Trump, Donald J",Op-Ed,"pavel, willa, cather","['willa', 'cather', '’', 'novel', '“', 'antonia', '”', 'kind', 'farmer', 'peter', 'pavel', 'prairi', 'death', 'bed', 'pavel', 'stori']","constitution, withstand, partisan","['constitut', 'partisan']","2019, year, wolf","['year', 'wolv']"
Why Trump Reigns as King Cyrus,The Christian right doesn’t like the president only for his judges. They like his style.,"The month before the 2018 midterms, a thousand theaters screened “The Trump Prophecy,” a film that tells the story of Mark Taylor, a former firefighter who claims that God told him in 2011 that Donald Trump would be elected president.",United States Politics and Government,Op-Ed,"trump, month, 2018","['month', 'midterm', 'thousand', 'theater', 'trump', 'propheci', 'film', 'stori', 'mark', 'taylor', 'firefight', 'god', 'trump', 'presid']","like, christian, right","['right', '’', 'presid', 'judg', 'style']","trump, reign, king","['trump', 'reign', 'king', 'cyru']"
Wanted: A Jets Coach Who Suits Sam Darnold,"The quarterback won’t have a say in who will be his next coach, but the team is looking for a coach that can complement its future star.","FLORHAM PARK, N.J. — A day after the Jets fired Coach Todd Bowles following the team’s season-ending 38-3 loss to the New England Patriots, team chairman and chief executive Christopher Johnson said the franchise will move quickly in finding a replacement.",Football,News,"team, florham, park","['florham', 'park', 'day', 'jet', 'coach', 'todd', 'bowl', 'team', '’', 'loss', 'england', 'patriot', 'chairman', 'execut', 'christoph', 'johnson', 'franchis', 'replac']","coach, quarterback, say","['quarterback', '’', 'say', 'coach', 'team', 'coach', 'futur', 'star']","wanted, jet, coach","['jet', 'suit']"
Military Deletes New Year’s Eve Tweet Saying It’s ‘Ready to Drop Something’,The United States Strategic Command’s tweet also included a video that showed a B-2 stealth bomber releasing two bombs. Officials later apologized.,The unified command responsible for the United States’ nuclear strike capabilities drew attention on Monday when it tweeted a message and video that threatened the possibility of dropping a bomb.,UNITED STATES STRATEGIC COMMAND,News,"unified, command, responsible","['command', 'state', 'strike', 'capabl', 'attent', 'monday', 'messag', 'video', 'possibl', 'bomb']","united, state, strategic","['state', '’', 'tweet', 'video', 'b2', 'stealth', 'bomber', 'bomb', 'offici']","military, deletes, new","['delet', 'year', '’', 'tweet', '‘', 'readi', 'someth', '’']"
Firing of Several Black Coaches Puts N.F.L. Hiring Under Scrutiny,"There are now only two African-American head coaches, after five others were fired. Newly revised rules compel owners to more seriously consider minority candidates.",The N.F.L.’s 32 owners made an unexpected announcement after meeting a few weeks ago: The league was strengthening rules that obligate teams to consider minority candidates when hiring coaches and executives in their front offices.,Coaches and Managers,News,"n, f, l","['’', 'owner', 'announc', 'week', 'leagu', 'rule', 'team', 'minor', 'candid', 'coach', 'execut', 'front', 'offic']","two, african, american","['head', 'coach', 'other', 'rule', 'owner', 'minor', 'candid']","firing, several, black","['fire', 'coach', 'scrutini']"
Video on Turkish TV Is Said to Show Khashoggi’s Remains Being Moved,"The television network A Haber broadcast footage of the residence of Saudi Arabia’s consul general in Istanbul, and of men carrying large suitcases inside.","A Turkish television network broadcast video on Monday showing men with suitcases supposedly containing the remains of Jamal Khashoggi, the dissident writer killed by Saudi agents in October.","Khashoggi, Jamal",News,"turkish, television, network","['televis', 'network', 'broadcast', 'video', 'men', 'suitcas', 'remain', 'writer', 'agent', 'octob']","television, network, haber","['televis', 'network', 'haber', 'broadcast', 'footag', 'resid', 'saudi', 'arabia', '’', 'consul', 'istanbul', 'men', 'suitcas']","video, turkish, tv","['video', 'tv', '’']"
Macron Vows Order ‘Without Compromise’ in Rebuke to Yellow Vest Protests,President Emmanuel Macron of France urged his fellow citizens to “accept reality” and called for the protesters shaking the country over inequality to curb the disorder sown at demonstrations.,PARIS — A French president struggling to reassert his grip after weeks of violent demonstrations across the country assured citizens on Monday night that he understood their anger — but said that henceforth order would be “applied without compromise.”,Yellow Vests Movement,News,"paris, french, president","['pari', 'presid', 'grip', 'week', 'demonstr', 'countri', 'citizen', 'night', 'anger', '—', 'henceforth', 'order', 'compromis', '”']","president, emmanuel, macron","['presid', 'macron', 'franc', 'citizen', 'realiti', '”', 'protest', 'countri', 'inequ', 'disord', 'sown', 'demonstr']","macron, vow, order","['macron', 'vow', 'order', '‘', 'compromis', '’', 'rebuk', 'protest']"
